sequence_id	bgc_id	start	end	type
1001994.SAMN02470178.AFPU01000001	BGC0000001	806243	865563	Polyketide
1002804.SAMEA2272649.FR871757	BGC0000002	879863	1021405	Polyketide
1004.SAMN05661012.FPIZ01000011	BGC0000003	105096	142264	Polyketide
1004316.SAMN04029016.LJJE01000112	BGC0000004	152933	242574	Polyketide
1005928.SAMN04487859.FOVP01000002	BGC0000005	140951	158388	Polyketide
1008459.SAMN02602982.CP003059	BGC0000006	780547	868865	Polyketide
1009426.SAMN02441643.ARRL01000002	BGC0000007	135460	217971	Polyketide
1010.SAMN05192578.FNGK01000001	BGC0000008	859753	935582	Polyketide
1017273.SAMN05443094.FTLX01000005	BGC0000009	132014	207366	Polyketide
1017273.SAMN05443094.FTLX01000006	BGC0000010	152486	230750	Polyketide
102129.SAMN02256520.JH993795	BGC0000011	163893	223428	Polyketide
1026882.SAMN02469574.AFIG01000001	BGC0000012	1092483	1114454	Polyketide
1027249.SAMN05216179.FRCZ01000002	BGC0000013	227781	235630	Polyketide
1028.SAMN05661096.FXAW01000002	BGC0000014	263706	364414	Polyketide
1028.SAMN05661096.FXAW01000008	BGC0000016	131679	137490	Unknown
102891.SAMN03353435.LJPA01000001	BGC0000017	177964	206874	Alkaloid;Polyketide
1030157.SAMN02470047.AFMP01000040	BGC0000018	142652	185612	Polyketide
1030841.SAMN02299456.JH165159	BGC0000019	1181878	1199916	Polyketide
1032480.SAMD00061117.AP012204	BGC0000020	2747236	2829982	Polyketide
1033730.PRJEA82327.HE978636	BGC0000021	668214	783960	Polyketide
1033733.PRJEA70539.HE578907	BGC0000022	625502	666742	Polyketide
1033737.SAMEA2272503.HE611052	BGC0000023	218154	276654	Polyketide
1033738.PRJEA70549.HE578956	BGC0000024	449565	478697	Polyketide
1033741.SAMEA3246152.LN811351	BGC0000026	392164	430574	Saccharide
1033741.SAMEA3246152.LN811356	BGC0000027	231595	311595	Polyketide
1033741.SAMEA3246152.LN811360	BGC0000028	173015	247024	Polyketide
1033743.SAMEA2271960.HE610957	BGC0000029	884551	969610	Polyketide
1033743.SAMEA2271960.HE610958	BGC0000030	363529	381964	Polyketide
1033743.SAMEA2271960.HE610959	BGC0000031	415410	490197	Polyketide
1033743.SAMEA2271960.HE610961	BGC0000032	271133	339446	Polyketide
1033743.SAMEA2271960.HE610962	BGC0000033	169326	259674	Polyketide
1033802.SAMN02472183.AFNV02000001	BGC0000034	152743	290946	Polyketide
1033810.SAMN02472186.AFNU02000004	BGC0000035	161710	247625	Polyketide
1034346.PRJEA70545.HE578925	BGC0000036	214608	326576	Polyketide;Saccharide
1034346.PRJEA70545.HE578928	BGC0000037	161233	169054	Polyketide
1034347.PRJEA68337.HE978512	BGC0000038	361890	419777	Polyketide
